INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
W F Kaynor Technical High School,Waterbury,CT,6708,cttech.org/kaynor,41.575629,-73.066087,NULL,NULL
Platt Technical High School,Milford,CT,6461,www.cttech.org/platt,41.249749,-73.046359,NULL,NULL
College of Business and Technology-Main Campus,Miami,FL,33174,www.cbt.edu,25.68551,-80.365511,NULL,NULL
City College-Altamonte Springs,Altamonte Springs,FL,32714,www.citycollege.edu,28.66349,-81.402361,NULL,NULL
Empire Beauty School-Dunwoody,Dunwoody,GA,30338,www.empire.edu,33.933413,-84.335672,NULL,NULL
Cobb Beauty College Inc,Kennesaw,GA,30144-2828,www.cobbbeautycollege.edu,34.028739,-84.609421,NULL,NULL
Career Center of Southern Illinois,Red Bud,IL,62278,www.gotoccsi.org,38.289727,-89.948787,0.7241,NULL
Crave Beauty Academy,Wichita,KS,67203,www.cravebeautyacademy.com,37.684374,-97.387374,NULL,NULL
Camelot College,Baton Rouge,LA,70805,www.camelotcollege.com,30.473452,-91.115413,NULL,NULL
Hastings Beauty School,Hastings,MN,55033,hastingsbeautyschool.com,44.74473,-92.850291,NULL,NULL
Kirksville Area Technical Center,Kirksville,MO,63501,kirksvilleatc.weebly.com/,40.185652,-92.56595,0.7143,NULL
South Central Career Center,West Plains,MO,65775,www.scccwp.org,36.737658,-91.854915,NULL,NULL
Saline County Career Center,Marshall,MO,65340-1698,www.marshallschools.com/sccc,39.115031,-93.21108,0.3333,NULL
Warrensburg Area Career Center,Warrensburg,MO,64093,warrensburgr6.org/wacc,38.760988,-93.709802,NULL,NULL
Nevada Regional Technical Center,Nevada,MO,64772,www.nevada.k12.mo.us,37.861014,-94.363083,NULL,NULL
Cass Career Center,Harrisonville,MO,64701-2024,casscareercenter.com,38.658014,-94.335682,1,NULL
Applied Technology Services,Sunset Hills,MO,63127,www.appliedtech-stl.com,38.778863,-90.293882,NULL,NULL
Central College of Cosmetology,Saint Robert,MO,65584,centralandsalemcolleges.com,37.814903,-92.14396,NULL,NULL
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,63703-4507,www.sehcollege.edu/,37.311629,-89.540101,0.5911,1030
Messenger College,Euless,TX,76040-4202,www.messengercollege.edu,32.8313,-97.100191,0.4369,NULL
Tennessee Academy of Cosmetology-Shelby Drive,Memphis,TN,38125,tac.edu,35.049097,-89.828269,NULL,NULL
Durham Beauty Academy,Durham,NC,27707,www.durhambeautyacademy.edu,35.962556,-78.978992,NULL,NULL
Union County Vocational Technical School,Scotch Plains,NJ,7076,www.ucvts.tec.nj.us/domain/11,40.616491,-74.358205,NULL,NULL
Prism Career Institute-Philadelphia,Philadelphia,PA,19152,PrismCareerInstitute.edu,40.057804,-75.046375,0.3642,NULL
Clinton Essex Warren Washington BOCES,Plattsburgh,NY,12901-0455,www.cves.org,44.700095,-73.469937,0.4477,NULL
Jefferson Lewis BOCES-Practical Nursing Program,Watertown,NY,13601-9509,www.boces.com,43.970186,-75.971274,1,NULL
Veeb Nassau County School of Practical Nursing,Hicksville,NY,11801-4302,www.veeb.org/PN_main.php,40.766393,-73.520435,NULL,NULL
Syracuse City Schools Practical Nursing Program,Syracuse,NY,13202,www.syracusecityschools.com/,43.047991,-76.144277,0.6667,NULL
Cattaraugus Allegany BOCES-Practical Nursing Program,Olean,NY,14760,www.caboces.org,42.093196,-78.405395,NULL,NULL
Orange Ulster BOCES-Practical Nursing Program,Goshen,NY,10924,www.ouboces.org,41.39029,-74.320975,1,NULL
Wayne Finger Lakes BOCES-Practical Nursing Program,Newark,NY,14513-1863,www.wflbocesadulted.org,43.041349,-77.083344,NULL,NULL
Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,NY,13905,www.btboces.org/,42.129648,-75.934739,0.5806,NULL
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Hudson Falls,NY,12839,www.wswheboces.org/,43.32149,-73.594331,0.4746,NULL
Albany BOCES-Adult Practical Nursing Program,Albany,NY,12205,www.capitalregionboces.org/CareerTech/AdultEd/apn.cfm,42.74311,-73.836922,NULL,NULL
Ulster BOCES School of Practical Nursing,Lake Katrine,NY,12449,www.ulsterboces.org,41.905936,-73.976438,0.7905,NULL
Eastern Suffolk BOCES,Brentwood,NY,11717,www.esboces.org,40.780472,-73.00833,0.9333,NULL
Rockland County BOCES-Practical Nursing Program,West Nyack,NY,10994,www.rocklandboces.org/?s=nursing+program,41.120977,-73.977376,NULL,NULL
New York College of Health Professions,Syosset,NY,11791-4413,www.nycollege.edu,40.807605,-73.517755,0.7879,NULL
Charles Stuart School of Diamond Setting,Brooklyn,NY,11229,charlesstuartschool.com,40.608355,-73.958876,NULL,NULL
Penta County Joint Vocational School,Perrysburg,OH,43551-4594,www.pentacareercenter.org,41.586827,-83.573263,NULL,NULL
Career and Technology Education Centers of Licking County,Newark,OH,43055-3399,www.c-tec.edu/cms/One.aspx?portalId=76736&pageId=77833,40.099973,-82.429175,NULL,NULL
Willoughby-Eastlake School of Practical Nursing,Eastlake,OH,44094,ncioh.edu,41.654713,-81.448292,NULL,NULL
Washington County Career Center-Adult Technical Training,Marietta,OH,45750,www.mycareerschool.com,39.43299,-81.50106,NULL,NULL
Ohio Media School-Cincinnati,Cincinnati,OH,45227,www.beonair.com,39.159849,-84.382486,NULL,NULL
Ohio Technical Center at Vantage Career Center,Van Wert,OH,45891,www.vantagecareercenter.com,40.880213,-84.572845,NULL,NULL
Indian Capital Technology Center-Muskogee,Muskogee,OK,74403-1889,www.ictctech.com,35.774921,-95.311895,NULL,NULL
Western Technology Center,Burns Flat,OK,73624-1469,www.westtech.edu,35.352774,-99.185702,NULL,NULL
Mid-America Technology Center,Wayne,OK,73095-0210,www.matech.edu,34.912498,-97.364174,NULL,NULL
Northeast Technology Center-Pryor,Pryor,OK,74361,www.netech.edu,36.309116,-95.425056,NULL,NULL
Eastern Oklahoma County Technology Center,Choctaw,OK,73020-9017,www.eoctech.edu,35.516891,-97.266991,NULL,NULL
